"Trending Date",Country,"Category ID","Comment Count",Title,Likes,"Channel ID",Dislikes,"Publish Date","Video ID",Views
2018-04-19,"Great Britain",24,653,"Cardi B didn't know how big of a deal Coachella is",5161,13291,883,2018-04-10,ZKw1m2yr6Wk,594939
2018-04-20,"Great Britain",24,661,"Cardi B didn't know how big of a deal Coachella is",5233,13291,904,2018-04-10,ZKw1m2yr6Wk,605740
2018-04-21,"Great Britain",24,719,"Cardi B didn't know how big of a deal Coachella is",5281,13291,910,2018-04-10,ZKw1m2yr6Wk,613449
2018-04-22,"Great Britain",24,728,"Cardi B didn't know how big of a deal Coachella is",5344,13291,918,2018-04-10,ZKw1m2yr6Wk,619868
2018-04-23,"Great Britain",24,730,"Cardi B didn't know how big of a deal Coachella is",5394,13291,927,2018-04-10,ZKw1m2yr6Wk,626878
2018-04-24,"Great Britain",24,732,"Cardi B didn't know how big of a deal Coachella is",5413,13291,934,2018-04-10,ZKw1m2yr6Wk,629515
2018-04-25,"Great Britain",24,734,"Cardi B didn't know how big of a deal Coachella is",5421,13291,940,2018-04-10,ZKw1m2yr6Wk,631141
2018-04-26,"Great Britain",24,732,"Cardi B didn't know how big of a deal Coachella is",5428,13291,942,2018-04-10,ZKw1m2yr6Wk,631939
2018-04-27,"Great Britain",24,723,"Cardi B didn't know how big of a deal Coachella is",5433,13291,943,2018-04-10,ZKw1m2yr6Wk,632833
2018-04-28,"Great Britain",24,723,"Cardi B didn't know how big of a deal Coachella is",5435,13291,943,2018-04-10,ZKw1m2yr6Wk,632979
2018-04-29,"Great Britain",24,723,"Cardi B didn't know how big of a deal Coachella is",5436,13291,943,2018-04-10,ZKw1m2yr6Wk,633154
2018-05-09,India,24,430,"GIRLS WILL BE GIRLS || Hyderabad Diaries",4498,7009,191,2018-05-08,zKUtYpUsjjg,48341
2018-05-10,India,24,493,"GIRLS WILL BE GIRLS || Hyderabad Diaries",5428,7009,236,2018-05-08,zKUtYpUsjjg,71677
2018-05-08,Denmark,24,863,"Aus Pfui mach Hui mit EUREN Zutaten",10134,11858,228,2018-05-07,ZKTRV4Gq70o,117428
2018-05-09,Denmark,24,1075,"Aus Pfui mach Hui mit EUREN Zutaten",12736,11858,332,2018-05-07,ZKTRV4Gq70o,167021
2018-04-28,Canada,25,304,"New video of Yonge Street van attack",200,3694,84,2018-04-26,ZKo50h9bJEw,94074
2018-05-21,Canada,24,489,"Why Get Married? - Part 2",1733,14218,28,2018-05-19,zKMtceLC3dc,132392
2018-04-04,India,24,43,"Seetha | Flowers | Ep# 305",373,5984,134,2018-04-03,zKM_EqqJOYc,139998
2018-05-06,Canada,23,1229,"Single Parent Romance",10144,13710,108,2018-05-04,ZKD5f6yaoiQ,261467
